DEPTH,GR,RT.OHMM,RXO.OHMM,TVD,TVDSS
0,-999.25,-999.25,-999.25,0,-19.32
0.1524,-999.25,-999.25,-999.25,0.1524,-19.1676
0.3048,-999.25,-999.25,-999.25,0.3048,-19.0152
0.4572,-999.25,-999.25,-999.25,0.4572,-18.8628
0.6096,-999.25,-999.25,-999.25,0.6096,-18.7104
0.762,-999.25,-999.25,-999.25,0.762,-18.558
0.9144,-999.25,-999.25,-999.25,0.9144,-18.4056
1.0668,-999.25,-999.25,-999.25,1.0668,-18.2532
1.2192,-999.25,-999.25,-999.25,1.2192,-18.1008
1.3716,-999.25,-999.25,-999.25,1.3716,-17.9484
1.524,-999.25,-999.25,-999.25,1.524,-17.796
1.6764,-999.25,-999.25,-999.25,1.6764,-17.6436
1.8288,-999.25,-999.25,-999.25,1.8288,-17.4912
1.9812,-999.25,-999.25,-999.25,1.9812,-17.3388
2.1336,-999.25,-999.25,-999.25,2.1336,-17.1864
2.286,-999.25,-999.25,-999.25,2.286,-17.034
2.4384,-999.25,-999.25,-999.25,2.4384,-16.8816
2.5908,-999.25,-999.25,-999.25,2.5908,-16.7292
2.7432,-999.25,-999.25,-999.25,2.7432,-16.5768
2.8956,-999.25,-999.25,-999.25,2.8956,-16.4244
3.048,-999.25,-999.25,-999.25,3.048,-16.272
3.2004,-999.25,-999.25,-999.25,3.2004,-16.1196
3.3528,-999.25,-999.25,-999.25,3.3528,-15.9672
3.5052,-999.25,-999.25,-999.25,3.5052,-15.8148
3.6576,-999.25,-999.25,-999.25,3.6576,-15.6624
3.81,-999.25,-999.25,-999.25,3.81,-15.51
3.9624,-999.25,-999.25,-999.25,3.9624,-15.3576
4.1148,-999.25,-999.25,-999.25,4.1148,-15.2052
4.2672,-999.25,-999.25,-999.25,4.2672,-15.0528
4.4196,-999.25,-999.25,-999.25,4.4196,-14.9004
4.572,-999.25,-999.25,-999.25,4.572,-14.748
4.7244,-999.25,-999.25,-999.25,4.7244,-14.5956
4.8768,-999.25,-999.25,-999.25,4.8768,-14.4432
5.0292,-999.25,-999.25,-999.25,5.0292,-14.2908
5.1816,-999.25,-999.25,-999.25,5.1816,-14.1384
5.334,-999.25,-999.25,-999.25,5.334,-13.986
5.4864,-999.25,-999.25,-999.25,5.4864,-13.8336
5.6388,-999.25,-999.25,-999.25,5.6388,-13.6812
5.7912,-999.25,-999.25,-999.25,5.7912,-13.5288
5.9436,-999.25,-999.25,-999.25,5.9436,-13.3764
6.096,-999.25,-999.25,-999.25,6.096,-13.224
6.2484,-999.25,-999.25,-999.25,6.2484,-13.0716
6.4008,-999.25,-999.25,-999.25,6.4008,-12.9192
6.5532,-999.25,-999.25,-999.25,6.5532,-12.7668
6.7056,-999.25,-999.25,-999.25,6.7056,-12.6144
6.858,-999.25,-999.25,-999.25,6.858,-12.462
7.0104,-999.25,-999.25,-999.25,7.0104,-12.3096
7.1628,-999.25,-999.25,-999.25,7.1628,-12.1572
7.3152,-999.25,-999.25,-999.25,7.3152,-12.0048
7.4676,-999.25,-999.25,-999.25,7.4676,-11.8524
7.62,-999.25,-999.25,-999.25,7.62,-11.7
7.7724,-999.25,-999.25,-999.25,7.7724,-11.5476
7.9248,-999.25,-999.25,-999.25,7.9248,-11.3952
8.0772,-999.25,-999.25,-999.25,8.0772,-11.2428
8.2296,-999.25,-999.25,-999.25,8.2296,-11.0904
8.382,-999.25,-999.25,-999.25,8.382,-10.938
8.5344,-999.25,-999.25,-999.25,8.5344,-10.7856
8.6868,-999.25,-999.25,-999.25,8.6868,-10.6332
8.8392,-999.25,-999.25,-999.25,8.8392,-10.4808
8.9916,-999.25,-999.25,-999.25,8.9916,-10.3284
9.144,-999.25,-999.25,-999.25,9.144,-10.176
9.2964,-999.25,-999.25,-999.25,9.2964,-10.0236
9.4488,-999.25,-999.25,-999.25,9.4488,-9.8712
9.6012,-999.25,-999.25,-999.25,9.6012,-9.7188
9.7536,-999.25,-999.25,-999.25,9.7536,-9.5664
9.906,-999.25,-999.25,-999.25,9.906,-9.414
10.0584,-999.25,-999.25,-999.25,10.0584,-9.2616
10.2108,-999.25,-999.25,-999.25,10.2108,-9.1092
10.3632,-999.25,-999.25,-999.25,10.3632,-8.9568
10.5156,-999.25,-999.25,-999.25,10.5156,-8.8044
10.668,-999.25,-999.25,-999.25,10.668,-8.652
10.8204,-999.25,-999.25,-999.25,10.8204,-8.4996
10.9728,-999.25,-999.25,-999.25,10.9728,-8.3472
11.1252,-999.25,-999.25,-999.25,11.1252,-8.1948
11.2776,-999.25,-999.25,-999.25,11.2776,-8.0424
11.43,-999.25,-999.25,-999.25,11.43,-7.89
11.5824,-999.25,-999.25,-999.25,11.5824,-7.7376
11.7348,-999.25,-999.25,-999.25,11.7348,-7.5852
11.8872,-999.25,-999.25,-999.25,11.8872,-7.4328
12.0396,-999.25,-999.25,-999.25,12.0396,-7.2804
12.192,-999.25,-999.25,-999.25,12.192,-7.128
12.3444,-999.25,-999.25,-999.25,12.3444,-6.9756
12.4968,-999.25,-999.25,-999.25,12.4968,-6.8232
12.6492,-999.25,-999.25,-999.25,12.6492,-6.6708
12.8016,-999.25,-999.25,-999.25,12.8016,-6.5184
12.954,-999.25,-999.25,-999.25,12.954,-6.366
13.1064,-999.25,-999.25,-999.25,13.1064,-6.2136
13.2588,-999.25,-999.25,-999.25,13.2588,-6.0612
13.4112,-999.25,-999.25,-999.25,13.4112,-5.9088
13.5636,-999.25,-999.25,-999.25,13.5636,-5.7564
13.716,-999.25,-999.25,-999.25,13.716,-5.604
13.8684,-999.25,-999.25,-999.25,13.8684,-5.4516
14.0208,-999.25,-999.25,-999.25,14.0208,-5.2992
14.1732,-999.25,-999.25,-999.25,14.1732,-5.1468
14.3256,-999.25,-999.25,-999.25,14.3256,-4.9944
14.478,-999.25,-999.25,-999.25,14.478,-4.842
14.6304,-999.25,-999.25,-999.25,14.6304,-4.6896
14.7828,-999.25,-999.25,-999.25,14.7828,-4.5372
14.9352,-999.25,-999.25,-999.25,14.9352,-4.3848
15.0876,-999.25,-999.25,-999.25,15.0876,-4.2324
15.24,-999.25,-999.25,-999.25,15.24,-4.08
15.3924,-999.25,-999.25,-999.25,15.3924,-3.9276
15.5448,-999.25,-999.25,-999.25,15.5448,-3.7752
15.6972,-999.25,-999.25,-999.25,15.6972,-3.6228
15.8496,-999.25,-999.25,-999.25,15.8496,-3.4704
16.002,-999.25,-999.25,-999.25,16.002,-3.318
16.1544,-999.25,-999.25,-999.25,16.1544,-3.1656
16.3068,-999.25,-999.25,-999.25,16.3068,-3.0132
16.4592,-999.25,-999.25,-999.25,16.4592,-2.8608
16.6116,-999.25,-999.25,-999.25,16.6116,-2.7084
16.764,-999.25,-999.25,-999.25,16.764,-2.556
16.9164,-999.25,-999.25,-999.25,16.9164,-2.4036
17.0688,-999.25,-999.25,-999.25,17.0688,-2.2512
17.2212,-999.25,-999.25,-999.25,17.2212,-2.0988
17.3736,-999.25,-999.25,-999.25,17.3736,-1.9464
17.526,-999.25,-999.25,-999.25,17.526,-1.794
17.6784,-999.25,-999.25,-999.25,17.6784,-1.6416
17.8308,-999.25,-999.25,-999.25,17.8308,-1.4892
17.9832,-999.25,-999.25,-999.25,17.9832,-1.3368
18.1356,-999.25,-999.25,-999.25,18.1356,-1.1844
18.288,-999.25,-999.25,-999.25,18.288,-1.032
18.4404,-999.25,-999.25,-999.25,18.4404,-0.8796
18.5928,-999.25,-999.25,-999.25,18.5928,-0.7272
18.7452,-999.25,-999.25,-999.25,18.7452,-0.5748
18.8976,-999.25,-999.25,-999.25,18.8976,-0.4224
19.05,-999.25,-999.25,-999.25,19.05,-0.27
19.2024,-999.25,-999.25,-999.25,19.2024,-0.1176
19.3548,-999.25,-999.25,-999.25,19.3548,0.0348
19.5072,-999.25,-999.25,-999.25,19.5072,0.1872
19.6596,-999.25,-999.25,-999.25,19.6596,0.3396
19.812,-999.25,-999.25,-999.25,19.812,0.492
19.9644,-999.25,-999.25,-999.25,19.9644,0.6444
20.1168,-999.25,-999.25,-999.25,20.1168,0.7968
20.2692,-999.25,-999.25,-999.25,20.2692,0.9492
20.4216,-999.25,-999.25,-999.25,20.4216,1.1016
20.574,-999.25,-999.25,-999.25,20.574,1.254
20.7264,-999.25,-999.25,-999.25,20.7264,1.4064
20.8788,-999.25,-999.25,-999.25,20.8788,1.5588
21.0312,-999.25,-999.25,-999.25,21.0312,1.7112
21.1836,-999.25,-999.25,-999.25,21.1836,1.8636
21.336,-999.25,-999.25,-999.25,21.336,2.016
